encoded,text
9,"redness, warmth, swelling, itching, stinging, burning, or irritation of treated skin."
2,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Less serious side effects may be more likely, and you may have none at all."
6,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Less serious side effects may occur, and you may have none at all."
3,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Less serious side effects may include: stinging; rash; or skin irritation."
4,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: bone pain, muscle weakness; confusion, changes in your mental state, seizure (convulsions); or pale skin, feeling light-headed or short of breath, rapid heart rate. Less serious side effects may be more likely, and you may have none at all."
0,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat."
7,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: nervousness , dizziness , or sleeplessness ; chest pain, fast or uneven heart rate; little or no urinating; dangerously high blood pressure (severe headache , buzzing in your ears, anxiety , shortness of breath); if your symptoms do not improve after 7 days of treatment, or if you have a fever; or if new symptoms occur. Less serious side effects may be more likely, and you may have none at all."
1,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Common side effects may include temporary hair loss (especially in children)."
5,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: redness or swelling of the treated area; increased pain; or severe burning or skin irritation such as a rash, itching, pain, or blistering. Less serious side effects may be more likely, and you may have none at all."
8,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Wash the skin and get medical attention right away if you have severe burning, pain, swelling, or blistering of the skin where you applied this medicine. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: pale skin, blue-colored lips; headache , confusion; or rapid heartbeats. Common side effects may include a mild burning sensation that can last for several hours or days, especially after your first use of this medicine."
